date,source_file,plant_kwh_computed,plant_kwh_reported,plant_capacity_kw_computed,plant_capacity_kw_reported,plant_site_count,township_kwh_computed,township_kwh_reported,township_capacity_kw_computed,township_capacity_kw_reported,township_site_count,net_kwh_reported,net_capacity_kw_reported,net_kwh_computed,net_capacity_kw_computed,plant_kwh_delta,township_kwh_delta,net_kwh_delta,reconciliation_flags,dated_in_sheet,headline_kwh
2026-06-29,Generation/06/30/2026 17:17.xlsx,956.32,694.06,995.26,925.26,13,416.86,416.86,169.585,169.585,5,1498.52,1472.515,1373.18,1164.845,262.26,0.0,-125.34,plant:+262.26kWh;net:-125.34kWh,yes,1373.18
2026-07-01,Generation/07/01/2026 20:41.xlsx,1291.82,1041.44,995.26,925.26,13,399.57,399.57,169.585,169.585,5,1828.61,1472.515,1691.39,1164.845,250.38,0.0,-137.22,plant:+250.38kWh;net:-137.22kWh,yes,1691.39
2026-07-02,Generation/07/02/2026 20:41.xlsx,1099.87,869.29,995.26,925.26,13,377.85,377.85,169.585,169.585,5,1634.74,1472.515,1477.72,1164.845,230.58,0.0,-157.02,plant:+230.58kWh;net:-157.02kWh,yes,1477.72
2026-07-03,Generation/07/03/2026 20:40.xlsx,618.0,483.45,995.26,925.26,13,218.33,218.33,169.585,169.585,5,1089.38,1472.515,836.33,1164.845,134.55,0.0,-253.05,plant:+134.55kWh;net:-253.05kWh,yes,836.33
2026-07-04,Generation/07/04/2026 20:40.xlsx,362.54,299.27,995.26,925.26,13,125.18,125.18,169.585,169.585,5,812.05,1472.515,487.72,1164.845,63.27,0.0,-324.33,plant:+63.27kWh;net:-324.33kWh,yes,487.72
2026-07-08,Generation/07/09/2026 11:28.xlsx,905.89,671.35,995.26,925.26,13,218.32,218.32,169.585,169.585,5,1277.27,1472.515,1124.21,1164.845,234.54,0.0,-153.06,plant:+234.54kWh;net:-153.06kWh,yes,1124.21
2026-07-09,Generation/07/09/2026 20:40.xlsx,1107.59,850.28,995.26,925.26,13,286.25,286.25,169.585,169.585,5,1524.13,1472.515,1393.84,1164.845,257.31,0.0,-130.29,plant:+257.31kWh;net:-130.29kWh,yes,1393.84
2026-07-10,Generation/07/10/2026 20:40.xlsx,1351.5,1073.4,995.26,925.26,13,319.82,319.82,169.585,169.585,5,1780.82,1472.515,1671.32,1164.845,278.1,0.0,-109.5,plant:+278.10kWh;net:-109.50kWh,yes,1671.32
2026-07-11,Generation/07/11/2026 20:40.xlsx,1026.92,803.27,995.26,925.26,13,259.97,259.97,169.585,169.585,5,1450.84,1472.515,1286.89,1164.845,223.65,0.0,-163.95,plant:+223.65kWh;net:-163.95kWh,yes,1286.89
2026-07-12,Generation/07/12/2026 20:40.xlsx,1177.03,918.73,995.26,925.26,13,303.39,303.39,169.585,169.585,5,1609.72,1472.515,1480.42,1164.845,258.3,0.0,-129.3,plant:+258.30kWh;net:-129.30kWh,yes,1480.42
2026-07-13,Generation/07/13/2026 20:40.xlsx,1330.83,1032.93,995.26,925.26,13,348.8,348.8,169.585,169.585,5,1769.33,1472.515,1679.63,1164.845,297.9,0.0,-89.7,plant:+297.90kWh;net:-89.70kWh,yes,1679.63
2026-07-14,Generation/07/14/2026 20:40.xlsx,1225.05,951.9,995.26,925.26,13,316.91,316.91,169.585,169.585,5,1656.41,1472.515,1541.96,1164.845,273.15,0.0,-114.45,plant:+273.15kWh;net:-114.45kWh,yes,1541.96
2026-07-15,Generation/07/15/2026 20:40.xlsx,1241.23,966.1,995.26,925.26,13,326.75,326.75,169.585,169.585,5,1680.45,1472.515,1567.98,1164.845,275.13,0.0,-112.47,plant:+275.13kWh;net:-112.47kWh,yes,1567.98
2026-07-16,Generation/07/16/2026 20:40.xlsx,1292.34,1001.37,995.26,925.26,13,341.42,341.42,169.585,169.585,5,1730.39,1472.515,1633.76,1164.845,290.97,0.0,-96.63,plant:+290.97kWh;net:-96.63kWh,yes,1633.76
2026-07-17,Generation/07/17/2026 20:40.xlsx,980.69,762.98,995.26,925.26,13,272.46,272.46,169.585,169.585,5,1423.04,1472.515,1253.15,1164.845,217.71,0.0,-169.89,plant:+217.71kWh;net:-169.89kWh,yes,1253.15
2026-07-18,Generation/07/18/2026 20:40.xlsx,1034.03,810.38,995.26,925.26,13,269.42,269.42,169.585,169.585,5,1467.4,1472.515,1303.45,1164.845,223.65,0.0,-163.95,plant:+223.65kWh;net:-163.95kWh,yes,1303.45
2026-07-19,Generation/07/19/2026 20:40.xlsx,1224.8,953.63,995.26,925.26,13,312.51,312.51,169.585,169.585,5,1653.74,1472.515,1537.31,1164.845,271.17,0.0,-116.43,plant:+271.17kWh;net:-116.43kWh,yes,1537.31
2026-07-20,Generation/07/20/2026 20:40.xlsx,1015.24,757.93,995.26,925.26,13,287.53,287.53,169.585,169.585,5,1433.06,1472.515,1302.77,1164.845,257.31,0.0,-130.29,plant:+257.31kWh;net:-130.29kWh,yes,1302.77
2026-07-21,Generation/07/21/2026 20:40.xlsx,906.07,710.14,995.26,925.26,13,223.99,223.99,169.585,169.585,5,1321.73,1472.515,1130.06,1164.845,195.93,0.0,-191.67,plant:+195.93kWh;net:-191.67kWh,yes,1130.06
2026-07-22,Generation/07/22/2026 20:40.xlsx,792.4,629.14,995.26,925.26,13,199.85,199.85,169.585,169.585,5,1216.59,1472.515,992.25,1164.845,163.26,0.0,-224.34,plant:+163.26kWh;net:-224.34kWh,yes,992.25
2026-07-23,Generation/07/23/2026 20:40.xlsx,240.2,226.43,995.26,925.26,13,46.04,46.04,169.585,169.585,5,660.07,1472.515,286.24,1164.845,13.77,0.0,-373.83,plant:+13.77kWh;net:-373.83kWh,yes,286.24
2026-07-24,Generation/07/24/2026 20:40.xlsx,340.12,295.66,995.26,925.26,13,72.45,72.45,169.585,169.585,5,755.71,1472.515,412.57,1164.845,44.46,0.0,-343.14,plant:+44.46kWh;net:-343.14kWh,yes,412.57
2026-07-25,Generation/07/25/2026 20:40.xlsx,396.91,338.59,995.26,925.26,13,69.14,69.14,169.585,169.585,5,795.33,1472.515,466.05,1164.845,58.32,0.0,-329.28,plant:+58.32kWh;net:-329.28kWh,yes,466.05
2026-07-26,Generation/07/26/2026 20:40.xlsx,450.19,348.31,995.26,925.26,13,112.05,112.05,169.585,169.585,5,847.96,1472.515,562.24,1164.845,101.88,0.0,-285.72,plant:+101.88kWh;net:-285.72kWh,yes,562.24
2026-07-31,Generation/07/31/2026 20:40.xlsx,758.33,607.94,995.26,925.26,13,204.14,204.14,169.585,169.585,5,1199.68,1472.515,962.47,1164.845,150.39,0.0,-237.21,plant:+150.39kWh;net:-237.21kWh,yes,962.47
2026-08-01,Generation/08/01/2026 20:40.xlsx,293.71,250.24,995.26,925.26,13,62.78,62.78,169.585,169.585,5,700.62,1472.515,356.49,1164.845,43.47,0.0,-344.13,plant:+43.47kWh;net:-344.13kWh,yes,356.49
2026-08-02,Generation/08/02/2026 20:40.xlsx,597.51,471.87,995.26,925.26,13,134.05,134.05,169.585,169.585,5,993.52,1472.515,731.56,1164.845,125.64,0.0,-261.96,plant:+125.64kWh;net:-261.96kWh,yes,731.56
2026-08-03,Generation/08/03/2026 20:40.xlsx,1051.01,789.74,995.26,925.26,13,301.88,301.88,169.585,169.585,5,1479.22,1472.515,1352.89,1164.845,261.27,0.0,-126.33,plant:+261.27kWh;net:-126.33kWh,yes,1352.89
2026-08-04,Generation/08/04/2026 20:40.xlsx,938.93,733.1,995.26,925.26,13,256.73,256.73,169.585,169.585,5,1377.43,1472.515,1195.66,1164.845,205.83,0.0,-181.77,plant:+205.83kWh;net:-181.77kWh,yes,1195.66
