date,section,column,name,capacity_kw,energy_kwh
2026-06-29,PLANT,C,"PUMP HOUSE, TRAFFIC & CANTEEN",229.36,280.97
2026-06-29,PLANT,F,NARMADA,236.0,339.16
2026-06-29,PLANT,G,MCC 14-15,45.3,1.9
2026-06-29,PLANT,H,ADMIN CLUSTER & ADMINISTRATIVE BUILDING,70.0,9.0
2026-06-29,PLANT,I,MPSS & MCC 13-16,70.0,264.0
2026-06-29,PLANT,J,MCC-2,60.0,0.0
2026-06-29,PLANT,K,BAGGING,113.4,248.18
2026-06-29,PLANT,L,INSTRUMENT BUILDING,40.3,0.0
2026-06-29,PLANT,M,R&D LAB,10.0,36.0
2026-06-29,PLANT,N,TECHNICAL BUILDING & TECH BUILDING OLD,28.6,-223.29
2026-06-29,PLANT,O,MECHANICAL MORKSHOP,44.4,0.0
2026-06-29,PLANT,R,UREA,10.0,0.0
2026-06-29,PLANT,S,GET HOSTEL 1&2,37.9,0.4
2026-06-29,TOWNSHIP,C,SHOPPING CENTRE,72.135,129.6
2026-06-29,TOWNSHIP,F,MP HALL,32.13,107.0
2026-06-29,TOWNSHIP,G,BARAT GHAR,25.0,102.0
2026-06-29,TOWNSHIP,H,HOSPITAL,20.16,36.59
2026-06-29,TOWNSHIP,I,BANK & POST OFFICE,20.16,41.67
2026-07-01,PLANT,C,"PUMP HOUSE, TRAFFIC & CANTEEN",229.36,277.37
2026-07-01,PLANT,F,NARMADA,236.0,317.41
2026-07-01,PLANT,G,MCC 14-15,45.3,115.9
2026-07-01,PLANT,H,ADMIN CLUSTER & ADMINISTRATIVE BUILDING,70.0,9.0
2026-07-01,PLANT,I,MPSS & MCC 13-16,70.0,252.0
2026-07-01,PLANT,J,MCC-2,60.0,0.0
2026-07-01,PLANT,K,BAGGING,113.4,234.34
2026-07-01,PLANT,L,INSTRUMENT BUILDING,40.3,0.0
2026-07-01,PLANT,M,R&D LAB,10.0,35.0
2026-07-01,PLANT,N,TECHNICAL BUILDING & TECH BUILDING OLD,28.6,50.4
2026-07-01,PLANT,O,MECHANICAL MORKSHOP,44.4,0.0
2026-07-01,PLANT,R,UREA,10.0,0.0
2026-07-01,PLANT,S,GET HOSTEL 1&2,37.9,0.4
2026-07-01,TOWNSHIP,C,SHOPPING CENTRE,72.135,122.6
2026-07-01,TOWNSHIP,F,MP HALL,32.13,102.0
2026-07-01,TOWNSHIP,G,BARAT GHAR,25.0,98.0
2026-07-01,TOWNSHIP,H,HOSPITAL,20.16,35.3
2026-07-01,TOWNSHIP,I,BANK & POST OFFICE,20.16,41.67
2026-07-02,PLANT,C,"PUMP HOUSE, TRAFFIC & CANTEEN",229.36,262.47
2026-07-02,PLANT,F,NARMADA,236.0,294.17
2026-07-02,PLANT,G,MCC 14-15,45.3,36.3
2026-07-02,PLANT,H,ADMIN CLUSTER & ADMINISTRATIVE BUILDING,70.0,9.0
2026-07-02,PLANT,I,MPSS & MCC 13-16,70.0,232.0
2026-07-02,PLANT,J,MCC-2,60.0,0.0
2026-07-02,PLANT,K,BAGGING,113.4,191.51
2026-07-02,PLANT,L,INSTRUMENT BUILDING,40.3,0.0
2026-07-02,PLANT,M,R&D LAB,10.0,29.0
2026-07-02,PLANT,N,TECHNICAL BUILDING & TECH BUILDING OLD,28.6,45.02
2026-07-02,PLANT,O,MECHANICAL MORKSHOP,44.4,0.0
