date,ghi_kwh_m2,ghi_mj_m2,sunshine_hours,temp_max_c,precipitation_mm,cloud_cover_pct,source
2026-06-29,6.4806,23.33,11.304,38.9,0.6,66,open-meteo-archive
2026-06-30,6.8,24.48,12.139,38.7,0.5,38,open-meteo-archive
2026-07-01,5.925,21.33,10.211,37.8,4.3,84,open-meteo-archive
2026-07-02,5.5972,20.15,10.017,37.7,5.8,71,open-meteo-archive
2026-07-03,3.0333,10.92,3.137,34.0,0.4,98,open-meteo-archive
2026-07-04,2.7472,9.89,1.816,33.2,5.6,100,open-meteo-archive
2026-07-05,4.8556,17.48,7.699,34.6,13.0,91,open-meteo-archive
2026-07-06,5.1389,18.5,8.0,34.8,21.3,92,open-meteo-archive
2026-07-07,2.2889,8.24,2.051,31.3,29.1,100,open-meteo-archive
2026-07-08,4.2194,15.19,4.811,34.6,0.1,98,open-meteo-archive
2026-07-09,5.4917,19.77,11.451,36.7,0.3,77,open-meteo-archive
2026-07-10,5.3,19.08,11.65,36.7,0.2,87,open-meteo-archive
2026-07-11,6.2806,22.61,11.0,37.2,0.2,81,open-meteo-archive
2026-07-12,6.0222,21.68,11.915,37.6,0.0,74,open-meteo-archive
2026-07-13,6.6389,23.9,11.86,37.1,0.0,86,open-meteo-archive
2026-07-14,6.3722,22.94,11.255,36.4,1.2,79,open-meteo-archive
2026-07-15,6.6472,23.93,10.919,35.4,1.2,62,open-meteo-archive
2026-07-16,5.9694,21.49,11.924,34.7,2.6,43,open-meteo-archive
2026-07-17,6.6639,23.99,10.233,35.9,1.9,52,open-meteo-archive
2026-07-18,6.3361,22.81,11.541,34.7,1.6,86,open-meteo-archive
2026-07-19,6.1306,22.07,11.071,35.1,0.7,81,open-meteo-archive
2026-07-20,4.2528,15.31,5.877,33.9,2.5,94,open-meteo-archive
2026-07-21,4.1194,14.83,6.134,32.5,2.9,94,open-meteo-archive
2026-07-22,3.2222,11.6,1.44,32.1,6.3,100,open-meteo-archive
2026-07-23,1.8389,6.62,0.113,27.6,204.2,100,open-meteo-archive
2026-07-24,2.2278,8.02,0.137,27.0,37.1,100,open-meteo-archive
2026-07-25,3.0222,10.88,2.184,30.4,63.9,98,open-meteo-archive
2026-07-26,3.7111,13.36,3.796,31.5,21.9,95,open-meteo-archive
2026-07-27,3.9361,14.17,5.518,32.0,20.8,89,open-meteo-archive
2026-07-28,5.6667,20.4,10.277,33.0,0.5,71,open-meteo-archive
2026-07-29,4.4333,15.96,7.385,32.7,0.9,97,open-meteo-archive
2026-07-30,4.125,14.85,5.188,33.2,0.9,99,open-meteo-archive
2026-07-31,4.075,14.67,6.563,33.1,48.5,93,open-meteo-archive
2026-08-01,2.4222,8.72,1.178,28.1,45.4,99,open-meteo-archive
2026-08-02,4.9139,17.69,8.187,31.9,3.2,80,open-meteo-archive
2026-08-03,4.4,15.84,7.827,31.9,1.8,85,open-meteo-archive
2026-08-04,5.8778,21.16,10.728,32.8,0.7,80,open-meteo-archive
2026-08-05,5.7528,20.71,8.965,33.3,2.2,88,open-meteo-archive
2026-08-06,5.475,19.71,10.171,33.3,0.3,93,open-meteo-archive
2026-08-07,5.6639,20.39,11.695,33.4,0.7,80,open-meteo-archive
2026-08-08,5.5806,20.09,10.078,32.7,0.6,47,open-meteo-archive
2026-08-09,6.2861,22.63,11.217,33.3,1.4,50,open-meteo-archive
2026-08-10,2.0917,7.53,0.783,28.5,12.1,98,open-meteo-archive
2026-08-11,4.7111,16.96,8.777,30.3,8.6,97,open-meteo-archive
2026-08-12,1.7833,6.42,0.0,28.9,13.7,99,open-meteo-archive
2026-08-13,5.4083,19.47,10.141,31.7,1.5,62,open-meteo-archive
2026-08-14,5.2222,18.8,9.278,32.1,4.8,86,open-meteo-archive
2026-08-15,5.8722,21.14,10.798,32.8,2.6,90,open-meteo-archive
2026-08-16,4.8917,17.61,9.077,31.5,2.1,88,open-meteo-archive
2026-08-17,5.1722,18.62,10.158,32.3,2.6,85,open-meteo-archive
2026-08-18,5.2528,18.91,11.0,32.3,1.9,69,open-meteo-archive
2026-08-19,5.4806,19.73,10.801,32.7,0.8,73,open-meteo-archive
2026-08-20,5.5111,19.84,9.764,32.2,0.8,79,open-meteo-archive
2026-08-21,4.7861,17.23,10.008,31.5,1.6,63,open-meteo-archive
2026-08-22,5.3139,19.13,11.296,32.0,0.5,68,open-meteo-archive
2026-08-23,5.3222,19.16,8.755,31.9,0.4,65,open-meteo-archive
2026-08-24,5.2194,18.79,10.498,32.2,1.4,57,open-meteo-archive
2026-08-25,5.4417,19.59,10.879,32.4,0.4,62,open-meteo-archive
2026-08-26,6.0278,21.7,10.689,32.7,0.7,75,open-meteo-archive
2026-08-27,5.2194,18.79,11.503,32.3,0.4,91,open-meteo-archive
2026-08-28,4.9917,17.97,10.943,32.7,0.4,86,open-meteo-archive
2026-08-29,5.2028,18.73,11.489,32.8,0.7,50,open-meteo-archive
2026-08-30,5.3611,19.3,9.398,33.2,0.3,65,open-meteo-archive
